player_id,player_name,player_pos,player_age,player_tm,gms_played,gms_started,mins_played,field_goals_made,field_goals_attempted,field_goal_pct,three_pt_made,three_pt_attempted,three_pt_pct,two_pt_made,two_pt_atttempted,two_pt_pct,effective_field_goal_pct,ft_made,ft_attempted,ft_pct,average_off_reb,average_def_reb,tot_reb_pct,average_ast,average_stl,average_blk,average_tov,average_pf,average_pts
1,Devin Booker,SG,26,PHO,11,11,41.7,12.8,21.9,0.585,2.8,5.5,0.508,10,16.4,0.611,0.649,5.3,6.1,0.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,3.4,33.7
2,Anthony Edwards,SG,21,MIN,5,5,39.8,11,22.8,0.482,3,8.6,0.349,8,14.2,0.563,0.548,6.6,7.8,0.846,0.6,4.4,5,5.2,1.8,2,1.6,2.6,31.6
3,Stephen Curry,PG,34,GSW,13,13,37.9,11.2,23.9,0.466,4.4,12.1,0.363,6.8,11.8,0.571,0.558,3.8,4.5,0.845,0.7,4.5,5.2,6.1,1,0.5,3.2,2.6,30.5
4,Nikola Jokic,C,27,DEN,20,20,39.5,11.4,20.7,0.548,1.8,3.8,0.461,9.6,16.9,0.568,0.591,5.6,7,0.799,3.5,10,13.5,9.5,1.1,1,3.5,3.5,30
5,Trae Young,PG,24,ATL,6,6,38.3,10,24.8,0.403,3,9,0.333,7,15.8,0.442,0.463,6.2,7.2,0.86,0.8,2.8,3.7,10.2,1.7,0.7,4,1.8,29.2
6,Kevin Durant,PF,34,PHO,11,11,42.4,9.7,20.4,0.478,1.5,4.6,0.333,8.2,15.7,0.52,0.516,8,8.7,0.917,0.6,8.1,8.7,5.5,0.8,1.4,3.5,2.6,29
7,Jalen Brunson,PG,26,NYK,11,11,40.3,9.9,20.9,0.474,2.4,7.3,0.325,7.5,13.6,0.553,0.53,5.6,6.2,0.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4,27.8
8,De'Aaron Fox,PG,25,SAC,7,7,38.6,10,23.6,0.424,3,9,0.333,7,14.6,0.48,0.488,4.4,5.9,0.756,1.7,3.7,5.4,7.7,2.1,0.6,4,3.3,27.4
9,Jayson Tatum,SF,24,BOS,20,20,40,9.3,20.2,0.458,2.7,8.2,0.323,6.6,12,0.55,0.524,6,6.9,0.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,2.2,27.2
10,Jimmy Butler,PF,33,MIA,22,22,39.7,9.4,20.1,0.468,1.3,3.5,0.359,8.1,16.5,0.492,0.5,6.8,8.5,0.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,26.9
11,Jamal Murray,PG,25,DEN,20,20,40,9.7,20.5,0.473,3,7.5,0.396,6.8,13.1,0.517,0.545,3.8,4.1,0.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1,26.1
12,Ja Morant,PG,23,MEM,5,5,37.4,9,21.2,0.425,2.6,6.2,0.419,6.4,15,0.427,0.486,4,5.2,0.769,1.6,5.2,6.8,7,1.8,0.2,3.4,2.4,24.6
13,LeBron James,PF,38,LAL,16,16,38.7,9.2,18.4,0.498,1.8,6.6,0.264,7.4,11.8,0.63,0.546,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5
14,Khris Middleton,SF,31,MIL,5,5,34.6,8,17.2,0.465,2.6,6.4,0.406,5.4,10.8,0.5,0.541,5.2,6,0.867,1.4,5,6.4,6.2,0.6,0,3.4,3,23.8
15,Joel Embiid,C,28,PHI,9,9,37.3,7.3,17,0.431,0.6,3.1,0.179,6.8,13.9,0.488,0.448,8.4,9.3,0.905,1.8,8,9.8,2.7,0.7,2.8,3.9,3,23.7
16,Russell Westbrook,PG,34,LAC,5,5,38.4,8.6,21,0.41,2,5.6,0.357,6.6,15.4,0.429,0.457,4.4,5,0.88,1.8,5.8,7.6,7.4,1.2,1.4,4,3,23.6
17,Desmond Bane,SG,24,MEM,6,6,38.5,8.2,19.3,0.422,2.7,8.3,0.32,5.5,11,0.5,0.491,4.5,4.8,0.931,1.2,4.8,6,3.2,0.5,0,2.8,3.2,23.5
18,Donovan Mitchell,SG,26,CLE,5,5,41.4,9,20.8,0.433,2.6,9,0.289,6.4,11.8,0.542,0.495,2.6,3.6,0.722,0.6,4.4,5,7.2,2,0.6,3.8,2.8,23.2
19,Dejounte Murray,SG,26,ATL,5,5,38,9.2,20.6,0.447,2.8,7.4,0.378,6.4,13.2,0.485,0.515,1.8,1.8,1,1.8,5.4,7.2,6.8,2,0.2,2,1.4,23
20,Jaylen Brown,SF,26,BOS,20,20,37.6,9.1,18.3,0.496,2,5.7,0.354,7.1,12.6,0.56,0.551,2.6,3.7,0.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1,22.7
21,Anthony Davis,C,29,LAL,16,16,38,8.3,15.9,0.52,0.3,0.9,0.333,7.9,14.9,0.531,0.53,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6
22,Norman Powell,SG,29,LAC,5,3,33.4,7.2,15.2,0.474,2.6,6.4,0.406,4.6,8.8,0.523,0.559,4.8,6.2,0.774,0.8,2.2,3,2.2,0.8,0.4,1.6,3.2,21.8
23,Darius Garland,PG,23,CLE,5,5,37.8,7,16,0.438,2.4,6.2,0.387,4.6,9.8,0.469,0.513,4.2,5,0.84,0,1.8,1.8,5,1.6,0.2,3.6,3.4,20.6
24,Tyrese Maxey,SG,22,PHI,11,11,38.5,7.5,17.5,0.427,3.1,7.7,0.4,4.4,9.7,0.449,0.516,2.5,2.8,0.903,0.8,4,4.8,2.3,1.4,0.5,0.7,2.4,20.5
25,James Harden,PG,33,PHI,11,11,38.8,6.5,16.6,0.393,2.8,7.5,0.378,3.7,9.2,0.406,0.478,4.4,5,0.873,0.5,5.6,6.2,8.3,1.8,0.4,3.2,2.5,20.3
26,RJ Barrett,SG,22,NYK,11,11,34.3,6.5,14.9,0.433,1.8,5.5,0.328,4.6,9.4,0.495,0.494,4.5,5.9,0.769,0.5,4,4.5,2.8,0.8,0.2,2.3,2.3,19.3
27,Malik Monk,SG,24,SAC,7,0,29.3,5.4,13.3,0.409,1.9,5.6,0.333,3.6,7.7,0.463,0.478,6.3,7,0.898,0.9,4.6,5.4,3.6,0.7,0.4,2,2.1,19
28,Klay Thompson,SF,32,GSW,13,13,36,6.5,16.8,0.388,3.8,10.5,0.368,2.7,6.4,0.422,0.502,1.6,1.8,0.875,0.1,4.1,4.2,2.2,0.5,0.3,2,2.2,18.5
29,Jaren Jackson Jr.,C,23,MEM,6,6,36.7,5.8,13.8,0.422,1.2,4.2,0.28,4.7,9.7,0.483,0.464,5.2,6,0.861,3.3,4.5,7.8,1.5,1,2,3,4,18
